code,name
A ,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО "
01 ,"Сільське господарство, мисливство та надання пов'язаних із ними послуг "
01.1 ,Вирощування однорічних і дворічних культур 
01.11 ,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур "
01.12 ,Вирощування рису 
01.13 ,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів "
01.14 ,Вирощування цукрової тростини 
01.15 ,Вирощування тютюну 
01.16 ,Вирощування прядивних культур 
01.19 ,Вирощування інших однорічних і дворічних культур 
01.2 ,Вирощування багаторічних культур 
01.21 ,Вирощування винограду 
01.22 ,Вирощування тропічних і субтропічних фруктів 
01.23 ,Вирощування цитрусових 
01.24 ,Вирощування зерняткових і кісточкових фруктів 
01.25 ,"Вирощування ягід, горіхів, інших фруктів"
01.26 ,Вирощування олійних плодів 
01.27 ,Вирощування культур для виробництва напоїв 
01.28 ,"Вирощування пряних, ароматичних і лікарських культур "
01.29 ,Вирощування інших багаторічних культур 
01.3 ,Відтворення рослин 
01.30 ,Відтворення рослин 
01.4 ,Тваринництво 
01.41 ,Розведення великої рогатої худоби молочних порід 
01.42 ,Розведення іншої великої рогатої худоби та буйволів 
01.43 ,Розведення коней та інших тварин родини конячих 
01.44 ,Розведення верблюдів та інших тварин родини верблюдячих 
01.45 ,Розведення овець і кіз 
01.46 ,Розведення свиней 
01.47 ,Розведення свійської птиці 
01.49 ,Розведення інших тварин 
01.5 ,Змішане сільське господарство 
01.50 ,Змішане сільське господарство 
01.6 ,Допоміжна діяльність у сільському господарстві та післяурожайна діяльність 
01.61 ,Допоміжна діяльність у рослинництві 
01.62 ,Допоміжна діяльність у тваринництві 
01.63 ,Післяурожайна діяльність 
01.64 ,Оброблення насіння для відтворення 
01.7 ,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг "
01.70 ,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг "
02 ,Лісове господарство та лісозаготівлі 
02.1 ,Лісівництво та інша діяльність у лісовому господарстві 
02.10 ,Лісівництво та інша діяльність у лісовому господарстві 
02.2 ,Лісозаготівлі 
02.20 ,Лісозаготівлі 
02.3 ,Збирання дикорослих недеревних продуктів 
02.30 ,Збирання дикорослих недеревних продуктів 
02.4 ,Надання допоміжних послуг у лісовому господарстві 
02.40 ,Надання допоміжних послуг у лісовому господарстві 
03 ,Рибне господарство 
03.1 ,Рибальство 
03.11 ,Морське рибальство 
03.12 ,Прісноводне рибальство 
03.2 ,Рибництво (аквакультура) 
03.21 ,Морське рибництво (аквакультура) 
03.22 ,Прісноводне рибництво (аквакультура) 
B ,ДОБУВНА ПРОМИСЛОВІСТЬ І РОЗРОБЛЕННЯ КАР'ЄРІВ 
05 ,Добування кам'яного та бурого вугілля 
05.1 ,Добування кам'яного вугілля 
05.10 ,Добування кам'яного вугілля 
05.2 ,Добування бурого вугілля 
05.20 ,Добування бурого вугілля 
06 ,Добування сирої нафти та природного газу 
06.1 ,Добування сирої нафти 
06.10 ,Добування сирої нафти 
06.2 ,Добування природного газу 
06.20 ,Добування природного газу 
07 ,Добування металевих руд 
07.1 ,Добування залізних руд 
